Boro,OBJECTID,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
QU,236,Limited Free,TimeWarner,Rockaway Beach,Beach 97 Street  1,40.582987999700002,-73.817954000599997,1034816.424770000041462,151727.221858000004431,,,Queens,
QU,237,Limited Free,TimeWarner,Rockaway Beach,Beach 97 Street  2,40.582987999700002,-73.817954000599997,1034816.424770000041462,151727.221858000004431,,,Queens,
QU,238,Limited Free,TimeWarner,Rockaway Beach,Beach 97 Street  3,40.582816999599999,-73.817654000399997,1034899.88457999995444,151665.095670000009704,,,Queens,
QU,239,Limited Free,TimeWarner,Kissena Park,Cricket Pitch,40.743699999900002,-73.817299999400007,1034875.964019999955781,210279.389529999985825,,,Queens,
QU,240,Limited Free,TimeWarner,Rockaway Beach,Beach 97 Street  4,40.582939999700002,-73.817224999700002,1035018.953570000012405,151710.155946999992011,,,Queens,
QU,241,Limited Free,TimeWarner,Rockaway Beach,Beach 97 Street  5,40.583028999600003,-73.816987999899993,1035084.716559999971651,151742.718217999994522,,,Queens,
QU,242,Limited Free,TimeWarner,Kissena Park,Baseball Field at Kissena Blvd and Booth Memorial Ave,40.7437000002,-73.814000000299998,1035790.38870999997016,210281.314066999999341,,,Queens,
QU,243,Limited Free,TimeWarner,Kissena Park,Southwest Entrance of Park,40.745499999899998,-73.813599999900006,1035899.832709999987856,210937.345563000009861,,,Queens,
QU,244,Limited Free,TimeWarner,Kissena Park,Baseball Field at Rose Ave and Browne St,40.747599999999998,-73.811700000299993,1036424.660730000003241,211703.567127999995137,,,Queens,
QU,245,Limited Free,TimeWarner,Kissena Park,Baseball Field at Booth Memorial Ave and 156th St,40.742399999699998,-73.811500000099997,1036484.154050000011921,209809.164420999994036,,,Queens,
QU,246,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  1,40.5844219998,-73.811420000300004,1036630.228890000027604,152253.502301000000443,,,Queens,
QU,247,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  2,40.584519999800001,-73.811163000199997,1036701.53648999996949,152289.359840999997687,,,Queens,
QU,248,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  3,40.584682999800002,-73.811034000099994,1036737.239500000025146,152348.821992999990471,,,Queens,
QU,249,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  4,40.584577000199999,-73.810915999499997,1036770.098690000013448,152310.274498000013409,,,Queens,
QU,250,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  6,40.5847570002,-73.810733999600004,1036820.509349999949336,152375.962029999995138,,,Queens,
QU,251,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  5,40.584651000299999,-73.810668999800001,1036838.647110000019893,152337.382711000012932,,,Queens,
QU,252,Limited Free,TimeWarner,Bowne Park,Track and Field - Northwest Corner of Park,40.771199999899999,-73.809099999899999,1037126.336490000016056,220303.357998999999836,,,Queens,
QU,253,Limited Free,TimeWarner,Bowne Park,Track and Field - Southwest Corner of Park,40.769699999799997,-73.8088000005,1037210.624380000052042,219757.04052199999569,,,Queens,
QU,254,Limited Free,TimeWarner,Kissena Park,Basketball Court at 160th St and Booth Memorial Ave,40.741899999799998,-73.808199999500005,1037398.995720000006258,209628.984006999991834,,,Queens,
QU,255,Limited Free,TimeWarner,Bowne Park,Track and Field - South of Park,40.769599999699999,-73.807499999900003,1037570.791970000020228,219721.395909000013489,,,Queens,
QU,256,Limited Free,TimeWarner,Kissena Park,Northwest Entrance of Park,40.750199999700001,-73.807200000600005,1037669.445640000049025,212653.54062200000044,,,Queens,
QU,257,Limited Free,TimeWarner,Bowne Park,Track and Field - Southeast Corner of Park,40.769499999600001,-73.805999999700006,1037986.358720000018366,219685.879248000012012,,,Queens,
QU,258,Limited Free,TimeWarner,Bowne Park,Playground,40.7705000001,-73.8055000003,1038124.045129999984056,220050.518937999993796,,,Queens,
QU,259,Limited Free,TimeWarner,Kissena Park,Track and Field - North of Lake,40.749999999800004,-73.805099999399999,1038251.45793000003323,212581.96202499998617,,,Queens,
QU,260,Limited Free,TimeWarner,Kissena Park,Golf Course near 164th St and Booth Memorial Ave,40.743799999799997,-73.804199999999994,1038505.871790000004694,210323.665031999989878,,,Queens,
QU,261,Limited Free,TimeWarner,Kissena Park,Track and Field - Northwest Corner of Golf Course,40.745899999700001,-73.8034000002,1038725.832969999988563,211089.25667699999758,,,Queens,
QU,262,Limited Free,TimeWarner,Kissena Park,Track and Field - Southeast of Kissena Lake,40.747299999799999,-73.802899999800005,1038863.229999999981374,211599.631641000014497,,,Queens,
QU,263,Limited Free,TimeWarner,Kissena Park,Playground,40.749099999899997,-73.802700000100003,1038917.169519999995828,212255.552572999993572,,,Queens,
